r,xf_0,xf_3,xf_6,xf_9,xf_12,xf_15
8.5,0.0036706700379000676,0.0034923499148833185,0.003348929018718236,0.0031749444412870168,0.003033338689402173,0.002901645470026125
8.8,0.0032391756506951037,0.0030834435692454064,0.002939377631067741,0.002806008140761174,0.0026820918235472323,0.0025667811511639028
9.1,0.002847288860535979,0.002711655985553129,0.002586197651018673,0.0024697440104614957,0.00236192670441564,0.0022609738139211123
9.4,0.002492494204560311,0.0023748192145110394,0.002265886855826696,0.002164812188345259,0.002070866865465838,0.0019831078228033944
9.7,0.0021728361279979144,0.0020710241875596187,0.0019765678935808714,0.0018891619261077383,0.0018077490343806402,0.0017318423575639205
10.0,0.0018857265867747181,0.0017980576769055434,0.001716577280187611,0.0016410876715820752,0.001570791337675264,0.0015142724225106097
10.3,0.001629085198099553,0.00155372291958356,0.0014839414674948687,0.0014189716990457447,0.0013585586316362573,0.0013022916410592015
10.6,0.0014007363492072405,0.0013362893628983575,0.001276513136725797,0.0012209791802244802,0.0011692730464993085,0.0011210338623382256
10.9,0.001198866146076743,0.0011439826860500598,0.0010931315763131537,0.0010455607463309463,0.0010014828908542417,0.0009603032553794707
11.2,0.0010205751864621549,0.00097414336523209,0.0009311218633875834,0.0008909762277190726,0.0008535751080368031,0.0008186773634211458
11.5,0.0008643702500505103,0.0008251316726467351,0.0007888777498192632,0.0007549989272449378,0.000723583812764484,0.0006940981681391646
11.8,0.0007285937432829826,0.0006954467854179967,0.0006648593172007578,0.0006364096287408412,0.0006098820938347546,0.0005852338459313769
12.1,0.0006105365375056774,0.0005829861208275313,0.0005576203285788836,0.0005338325260231246,0.0005115156785886726,0.0004908064451837562
12.4,0.0005092041527550059,0.00048631876134697577,0.00046505143410905726,0.00044526695569885235,0.0004268200034120234,0.0004095859016522182
12.7,0.0004222815529517008,0.00040335011700872613,0.0003857690452539671,0.00036938824443565684,0.0003541227701673403,0.0003398610646237461
13.0,0.0003482433535114177,0.0003326648260018844,0.0003181956307637159,0.00030472985979600225,0.0002921577808382727,0.000280416847012995
13.3,0.0002855817697670541,0.0002728331541399313,0.00026099213437500324,0.0002499662120416914,0.00023969307980598853,0.00022990067488003064
13.6,0.00023287944034301364,0.00022250360620814925,0.0002128657101051476,0.00020388817778332365,0.00019551631372479806,0.00018770285222392664
13.9,0.0001888238074452248,0.00018042588825445134,0.00017262325600089562,0.0001653607985003416,0.00015858016816284011,0.00015224335026018735
14.2,0.00015223355988283415,0.00014547343523744723,0.0001391926561613451,0.00013334115595283093,0.0001278842952294933,0.00012278391677453197
14.5,0.00012201924784401319,0.00011661023844941231,0.0001115846009460689,0.00010690314427869285,0.00010253545641172431,9.845254306727668e-5
14.8,9.724069306118587e-5,9.29375862917556e-5,8.893646223267708e-5,8.521095935158537e-5,8.17346141743604e-5,7.848476809650798e-5
